MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
60,3,65.0,327,1,0,3,3,0,4,0,5,2,2,0,5,7,5,104,53,1,1,12,13,2,128,2,4,2,3,4,4,3,706,6,0,73,179,1,0,1,5,134,232,0,531,1,0,2,1,3,1,2,6,6,0,0,2,89,2,2,220,5,5,2,0,49,0,0,0,0,0,0,0,0,1,2,8,4
20,3,80.0,498,1,0,3,3,0,2,0,24,1,2,0,2,6,8,77,26,1,1,8,8,3,0,3,4,1,3,4,2,1,978,6,0,167,441,1,0,1,5,427,0,0,259,0,1,2,0,3,1,3,4,6,1,5,2,62,2,2,149,5,5,2,187,0,0,0,0,0,0,0,0,0,4,1,8,4
60,3,68.0,702,1,0,0,3,0,4,0,5,2,2,0,5,7,5,102,52,1,1,12,13,2,104,2,4,2,3,4,3,3,486,6,0,278,214,1,0,1,5,178,239,0,570,1,0,2,1,3,1,2,4,6,1,5,2,87,2,2,260,5,5,2,0,30,0,0,0,0,0,0,0,0,8,2,8,4
70,3,60.0,489,1,0,0,3,0,0,0,6,2,2,0,5,7,5,19,20,1,1,13,15,3,0,3,4,0,4,2,4,1,216,6,0,346,117,1,2,1,5,208,180,0,536,1,0,1,0,3,1,2,5,6,1,3,6,84,3,3,284,5,5,2,0,24,108,0,0,0,0,0,0,0,1,0,8,0
60,3,84.0,925,1,0,0,3,0,2,0,15,2,2,0,5,8,5,101,50,1,1,12,13,2,221,2,4,2,3,4,1,3,655,6,0,318,370,1,0,1,5,347,320,0,734,1,0,2,1,4,1,2,7,6,1,5,2,86,2,3,380,5,5,2,118,70,0,0,0,0,0,0,0,0,11,2,8,4
50,3,85.0,915,1,0,0,3,0,4,0,11,2,2,0,0,5,5,94,45,1,1,12,13,3,0,3,4,5,3,4,4,3,732,6,0,17,140,1,0,1,5,94,80,0,315,1,0,1,1,1,1,3,3,6,0,0,2,79,3,2,166,5,5,2,11,20,0,17,0,0,0,3,3,10,9,3,8,4
20,3,75.0,552,1,0,3,3,0,4,0,21,2,2,0,2,8,5,105,55,1,1,12,13,4,123,2,4,2,1,4,1,3,1369,6,0,194,633,1,0,1,5,644,0,0,520,1,0,2,0,3,1,2,5,6,1,3,2,90,2,2,281,5,5,2,163,45,0,0,0,0,0,0,0,0,7,1,8,4
60,3,0.0,593,1,0,0,3,0,0,0,14,4,2,0,5,7,6,74,23,1,1,6,6,4,157,3,4,1,3,4,3,1,859,2,2,120,346,1,0,1,5,317,298,0,701,1,0,2,1,3,1,3,5,6,2,5,2,59,2,2,170,5,5,2,149,156,94,0,0,0,0,0,3,2,10,3,8,4
50,4,51.0,138,1,0,3,3,0,4,0,17,0,2,0,0,7,5,35,0,1,1,3,15,3,0,3,4,0,4,4,4,6,0,6,0,569,237,1,2,1,2,255,177,0,565,0,0,2,0,2,2,3,6,2,2,5,6,19,3,2,155,2,5,2,40,0,83,0,0,0,0,0,0,0,3,2,8,0
190,3,50.0,222,1,0,3,3,0,0,0,3,0,0,1,1,5,6,42,0,1,1,8,8,3,0,3,4,0,4,4,4,3,851,6,0,67,269,1,0,1,5,295,0,0,146,1,0,1,0,2,2,3,3,6,2,5,2,27,2,1,9,3,5,2,0,1,0,0,0,0,0,0,0,0,0,2,8,4
20,3,70.0,691,1,0,3,3,0,4,0,19,2,2,0,2,5,5,66,15,3,1,6,6,3,0,3,4,1,4,4,4,5,906,6,0,63,300,1,0,1,5,266,0,0,125,1,0,1,0,3,1,3,3,6,0,0,6,51,3,1,91,5,5,2,0,0,0,0,0,0,0,0,0,0,1,2,8,4
60,3,85.0,769,1,0,0,3,0,4,0,16,2,2,0,5,9,5,106,56,3,1,14,15,4,186,0,4,2,1,4,4,3,998,6,0,95,387,1,0,1,5,374,352,0,763,1,0,3,0,4,1,0,9,6,2,3,4,91,1,3,332,5,5,2,81,11,0,0,0,0,0,0,0,0,6,0,6,5
20,3,0.0,853,1,0,1,3,0,4,0,19,2,2,0,2,5,6,63,12,3,1,6,10,3,0,3,4,1,4,4,4,1,737,6,0,93,209,1,4,1,5,172,0,0,69,1,0,1,0,2,1,3,2,6,0,0,6,48,3,1,76,5,5,2,74,0,0,0,35,0,0,0,0,0,8,2,8,4
